,age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,salary
0,39,16.685830920478196,2.3485867993763057,0.0,40,2,8,1,1,1,3,1,39,0
1,50,16.989303974404145,0.0,0.0,13,4,8,0,4,0,3,1,39,0
2,38,21.54940839128831,0.0,0.0,40,3,10,2,6,1,3,1,39,0
3,53,22.01090942581957,0.0,0.0,40,3,1,0,6,0,1,1,39,0
4,28,24.119065456560982,0.0,0.0,40,3,8,0,10,2,1,0,5,0
5,37,23.096802291217163,0.0,0.0,40,3,11,0,4,2,3,0,39,0
6,49,20.0058411905387,0.0,0.0,16,3,6,2,8,1,1,0,23,0
7,52,21.3978221521663,0.0,0.0,45,4,10,0,4,0,3,1,39,1
8,31,14.627540818632527,2.8904772622638935,0.0,50,3,11,1,10,1,3,0,39,1
9,42,19.98275896882291,2.586334373360869,0.0,40,3,8,0,4,0,3,1,39,1
10,37,23.01279034608857,0.0,0.0,80,3,14,0,4,0,1,1,39,1
11,30,19.388010009504505,0.0,0.0,40,2,8,0,10,0,0,1,19,1
12,23,18.699575771022975,0.0,0.0,30,3,8,1,1,1,3,0,39,0
13,32,21.278868353619735,0.0,0.0,50,3,7,1,12,1,1,1,39,0
14,40,18.680429605572154,0.0,0.0,40,3,7,0,3,0,0,1,0,1
15,34,22.25907560740687,0.0,0.0,45,3,5,0,14,0,2,1,26,0
16,25,20.504233609489127,0.0,0.0,35,4,10,1,5,1,3,1,39,0
17,32,20.790176033322734,0.0,0.0,40,3,10,1,7,1,3,1,39,0
18,38,13.036938306408379,0.0,0.0,50,3,1,0,12,0,3,1,39,0
19,43,23.2493471995468,0.0,0.0,45,4,11,2,4,1,3,0,39,1
20,40,20.97411804787515,0.0,0.0,60,3,9,0,10,0,3,1,39,1
21,54,23.445214599386492,0.0,0.0,20,3,10,2,8,1,1,0,39,0
22,35,16.6496038151981,0.0,0.0,40,1,6,0,5,0,1,1,39,0
23,43,18.496126851288924,0.0,2.3322976294352005,40,3,1,0,14,0,3,1,39,0
24,59,18.170696091451067,0.0,0.0,40,3,10,2,13,1,3,0,39,0
